"ï»¿web-scraper-order","web-scraper-start-url","Ulasan","label"
"1700618869-25","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Nyamann buat istirahat dengan harga yang sepadan sangat worthit hanya sja aac perlu sedikit service karna kurang dingin but so far so good sih, fasilitas lengkap ada kolam renang yang sangat asyik. Mas mas checokut juga ramah menawarkan member juga. Big thanks ya","negatif"
"1700618869-26","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Kebersihan kamar oke cocok untuk keluarga dan juga transit harga nya affordable dan lokasinya tengah kota cari kendaraan juga gampang apalagi ke mallnya banyak pilihan yang dekat stasiun juga dekat banget","positif"
"1700618869-27","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Rekomendasi buat yg ingin menginap dihotel ini dg fasilitas yg baik dan bersih dengan harga yabg worthin sangat menarik dengan fasilitas ada kolam renang its veatifull place kalau sore hari. Petugas staff helpfull ramah","positif"
"1700618869-28","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Pelayanan ramah, kamar bersih, checkin dan checkout mudah,dekat stasiun gubeng, fasilitas memadai, tempat parkir luas dan aman, tempat strategis, terima kasih banyak pop hotel, jika ke surabaya lagi saya akan menginap disini","positif"
"1700618869-29","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Pelayanan nya baik, bagus, dan ramah. Kamar nya bersih, lengkap, dan view nya bagus. Terdapat alfamart dilantai G yang memudahkan jika membutuhkan sesuatu. Hotel juga dekat dengan starbucks dan subway jika lapar dimalam hari. Satpam nya juga sangat membantu","positif"
"1700618869-30","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","hotek transit yang sangat murah bagi saya karena ada fasiliyas kolam renang di lantai 5 harris, karena di hotel budget yang lain tidak terdapat kolam renang., wifinya juga lunayan lancar dan kamar standart pada umumnya.","positif"
"1700618869-31","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Bintang 5 pokoknya, bersih banget no minus,segalanya lancar, ac dingin, segala hal lengkap, kasur nya nyaman, bener bener gak ada kekurangan sama sekali,viewnya juga bagus, gak ada yang mampet dan segaa hal","positif"
"1700618869-32","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Kedua kali nya saya menginap di pop hotel , pelayanan staff nya selalu memuaskan dan menyenangkan , saat check in di handle sama mba Dita di pilihkan kamar yg bagus banget dan saat check out saya di bantu mas Andik dan proses nya sangat cepat juga, terimakasih pop hotel","positif"
"1700618869-33","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Bisnis trip di pop hotel , kamarnya ckup bagus dan bersih, wifi dikamar sangat cepat dan membantu menyelesaikan pekwrjaan saya, breakfast gabung di resto harris di lantai 5 , makanan sangat bayak dan enak enak","positif"
"1700618869-34","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotel bagus AC dingin dan kamar bersih tapi hanya satu kurangnya lampu tidur di kamar 832 mati semoga bisa di benahi kedepannya tapi untuk keseluruhan kamarnya nya dan pelayanan oke terimakasi kak ade sudah di bantu","negatif"
"1700618869-35","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Lhotel praktis simple dan berada tengah kota wifi kenceng secepat kilat hehee makasi kak ade sudah di bantu proses chek out cepat dan bakal kesini lagi kasi rekomendasi ke teman teman saya untuk breakfast disini juara rasanya","positif"
"1700618869-36","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Mudik ke surabaya nginap disini pling pas karena dekat sama mall mall mungkin sedikit masukan ratai yng belakang pintu 1756 itu putus bisa langsung diperbaiki ya selebihnya okeee check out check in juga lancarr bgt petugas nya ramwah poll","positif"
"1700618869-37","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","sy pesen 2 kamar mulai check in dari tgl 21-25 April 2023.Tgl 21 April diksh nomer 1750 dan 1752 begitu dipakai yang 1752 closet tidak bisa disiram,atap kamar bocor sampai kamar banjir akhirnya dipindah ke kamar nomer 1738.Di kamar 1738 kasusnya juga sama dengan yang 1752 cuma ini yang bocor adalah ACnya sampai kamr banjir,akhirnya dipindah lagi ke kamar nomer 1730.Yang satu kamar nomer 1750,walaupun ada kendala di list kamar mandi dan lampu mati tapi masih ok untuk ditinggalin.Tolong utk managemen POP HOTEL,kl kamar memang sudah tidak layak disewakan jangan dipaksa disewakan,kasihan customernya.TOLONG DIPERHATIKAN.","negatif"
"1700618869-38","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","transit disurabaya, dengan hotel sekelas pop yang di gubeng ini pelayanannya bagi saya sudah cukup baik dari pada lainnya, saya puas banget tinggal disini, next kalau ke surabaya pasti akan datang lagi","positif"
"1700618869-39","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotelnya bagus,bersih&ramah pegawainya,fasilitas termasuk lengkap juga,untuk yang bawa keluarga,dianjurkan kesini dengan hotel budget bisa berenang,tempat fitnes&spa,jdi tidak perlu binggung buat keluar cari tempat bermain buat anak","positif"
"1700618869-40","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotelnya lumayan bagus, pelayanan jg bagus cepat ditindak lanjutkan.., makanan nya jg lumayan cukup mantap, ada kolom renang buat rekreasi anak Dan keluarga..  kedepannya di baguskan lagi untuk semua nya.. terima kasih hotel pop Surabaya...","positif"
"1700618869-41","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Mudik 2023 menuju surabaya pilihan pertama untuk menginap selalu di hotel Harris/pop..knp?..tempatnya nyaman..tempatnya di pusat kota surabaya..akses menuju hotel gampang..pelayanan mulai satpam sampai reception..ramah sekali..cocok untuk liburan jangka panjang...terima kasih","positif"
"1700618869-42","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","kolam renangnya kurang besar untuk kamar okee,disambut dengan lobby yang bagus dan Instagramable menjadi kan saat kita foto menjadi estetik,pelayanan yang sangat ramah,staff staff nyaa ramah ga lupa buat nyapa tamunya.... good job","positif"
"1700618869-43","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotelnya bersih,staffnya ramah,recomen cocok untuk pasangan dan dekat kota mau kemana mana apa lagi lobby nya dinggin dan ada hijau hijaunya  Bakal kesini lagi next time makasi kak ade sudah banyak membantu","positif"
"1700618869-44","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotel pop yang di Gubeng ini menurut saya sangat murah dan sangat nyaman, dimana fasilitasnya bisa berenang di Harris dan di tambah breakfast ya juga di Harris jadi enak banget dehh, apalagi untuk orang yang butuh ketenangan ok banget","positif"
"1700618869-45","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","kamar nyaman, bed standar queen, pelayanan ramah, kolam renang standar, parkiran mobil tidak mendukung tempat yg baik. lorong kamar tampak bersanding antara hotel harris dan pop, memperlihatkan perbedaan.","positif"
"1700618869-46","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotelnya nyaman, bersih dan pelayanan sangat ramah, makanannya enak aku suka, membuat saya happy menginap disini, pokoknya must try the food and the room lah pokoknya, cus nginep guysss, jangan lupaaaaaaa","positif"
"1700618869-47","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","baru pertama ke pop gubeng ini karena denger denger ada kolam renangnya dari rekan sya, ternyata benar dan kolam renangnya cukup untuk anak anak dan makannya pun enak karna mungkin dengan harris untuk harga sangat worth it","positif"
"1700618869-48","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Berlibur ke surabaya saya memilih penginapan di pop gubeng, budget hotel tapi nyaman dan bersih, receptionist ramah dan selalu membantu juga ketika saya perlu bantuan , dan di pop gubeng ini ternyata ada kolam renang yg bisa di acsess jadi tidak bosan di kamar","positif"
"1700618869-49","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Sarannya kalaao emang mau bisnis atau mau bikin rapat kecil yg mengharuskan menginap dg budget yang kecil, aku saranin buat nginep di pop hotel aja Krn fasilitas nya juga udah ada di Harris jadi tinggal minta voucher doang kalo mau make","positif"
"1700618869-50","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Duh asik bgt disini deh, Deket mall mall ada Deket tempat wisata juga kalau mau disini mau kemana aja Deket, kalo di hotel sebelah gaada yg jelasin kalao disini Deket mall sama tempat wisata jadinya gak tau, disini juga lengkap bgt tempat buat beli makanan ringan ada Alfamart, mau kopi ada stjames dan juga janji jiwanya, sayangnya agak susah pas nyari kamar mandi Krn gak da sign yg menunjukkan buat itu adlh kmr mandi thnks","positif"
"1700618869-51","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Baru kali ini saya menginap di hotel yang ekonomis tapi untuk makannya banyak variannya dan enak banget cocok di lidah saya, fasilitasnya juga ada kol renang tapi saya belum coba karena berniat hanya untuk istirahat sebab pagi harus lanjut perjalanannya, untuk pelayanannya juga sudah cukup oke","positif"
"1700618869-52","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Good performance from employee,, senyum nya gak pernah luntur, selalu sopan dan greeting always like this hotel walaupun agak sempit ya, namanya juga pop hotel, kalau mau besar di Harris nya  Kolam renang nya oke juga buat berjemur","positif"
"1700618869-53","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Saya sudah dua kali ini menginap di pop hotel surabaya. Pop hotel memiliki staff yg ramah-ramah, cekatan, dan murah senyum. Room nya yg selau bersih, AC yg dingin dan layanan TV yg membuat betah stay cation di dalam room membuat saya hingga dua kali menginap disini.","positif"
"1700618869-54","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotel budget dengan pelayanan bagus, staff staff nya sangat ramah ramah semua, kamar kecil tapi nyaman dan bersih, menu sahur juga fafiativ dan enak enak semua, dan yang oke ada kolam renang yg luas dan bersih","positif"
"1700618869-55","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Pop hotel Gubeng yang selalu menemani saya ketika berpergian' dari solo Jogja Jakarta dan sekarang di surabaya' hotel budget dengan fasilitas lengkap di kamarnya ' staff semua ramah dan sangat membantu saya ketika menginap di pop","positif"
"1700618869-56","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Suasana kamar menyenangkan, AC dingin, air hangat berfungsi, overall memuaskan, fasilitas kolam renang, hotel ini sangat rekomen untuk anak anak dan keluarga untuk tempat liburan...sukses selalu pop Gubeng","positif"
"1700618869-57","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotel yang rekomendasi banget. Pelayanan yg ramah. Kamar hotel bagus. Cocok juga buat yang sudah berkeluarga. Ada playground dan kolam renang untuk anak. Makanan di restoran juga enak-enak. Istimewa pokoknya.","positif"
"1700618869-58","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Kamar simple berada dintengah kota dan dekat mau kemanamana karna berada di pusay kota, di bantu dengan kak ade buat pesankan taxi hehehe staffnya disini ramah ramah semua bakal balik lagi next time...","positif"
"1700618869-59","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","ruangan nyaman,bersih dan air hangatnya lancar.untuk kelengkapan fasilitas juga memadai, makanan di seventeen lounge adalah yg paling luar biasa. menuh sahur juga lengkap,sebuah pengalaman yang menyenangkan untuk berisitirahat maupun membuat acara disini","positif"
"1700618869-60","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotel nya bagus simple praktis dekat jantung kota akes kalau mau pergi pergi sangat dekat, apalagi tadi pagi ada kegiatan anak anak di kolam renang, sangat cocok untuk keluarga yang bawa anak karena anak terasa terhibur, makasi kak ade","positif"
"1700618869-61","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Fasilitas nyaman dan tidak berisik.. hotel ini boleh dengan lokasi yang bagus.. Dekat dengan tempat kuliner dan berbagai coffe shop mudah untuk mencari makanan atau minuman yang diinginkan.. Fasilitas lengkap hanya saja kurang pemanas untuk air minum teh atau kopi","positif"
"1700618869-62","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Saya dan pasangan hanya transit saja ke Surabaya, sebab kami mau ke banyuwangi first time di surabaya dapat hotel yang menurut saya worth it banget dari segi harganya fasilitasnya juga lengkap, petugasnya pun baik.","positif"
"1700618869-63","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Memuaskan pelayanannya. Patut direkomendasikan. Bagus untuk keluarga juga.  Acara buat kapasitas besar juga bagus, seminar atau apapun lah. Bagus deh pokoknya. Lokasi juga strategis. Mudah diakses karena berada di tengah kota.","positif"
"1700618869-64","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Staycation deket deket an aja di gubeng karena weekend males buat kemana mana dan anak anak minta renang alhasil ke sini deh sudah beberapa kali kesini petugasnya ramah ramah proses check in  gapake lama sama ka salwa pelayanan top","positif"
"1700618869-65","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","se nyaman itu kamarnya, walaupun sempit ac nya agak panas, tapi worth it dgn pemandangan secantik ini di surabaya, ku lihat sih dari waktu valentine, sampai di ramadhan ini kompak bgt make seragam tema ramadhan (muslim), merekaa walaupun puasa juga tetep ramah dan gaak perhitungan buat ngelayanin kita (tamu)","positif"
"1700618869-66","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","kunjungan pertama kesini di kamar 932 deket sama lift depannya pas harganya terjangkau katanya disini ada swimming poolnya tapi belum coba , pelayanannya gercep untuk kamarnya sama sekali gaada masalah","positif"
"1700618869-67","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotel yang menyenangkan bagi penginapnya, cocok untuk para backpaker karena harga sangat terjangkau sekali dikantong, untuk makannya pun saya merasa paling enak di pop gubeng ini beda sama yang lain, petugas juga baik menurut saya ok deh","positif"
"1700618869-68","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotel yang sangat terjangkau untuk harganya , karena sudah bolak balik ke pop untuk senengin anak tiap bulannya ingin renang, dari pada renang di luar hanya sekali saja, dengan petugasnya juga cepat akrab jadi ok deh","positif"
"1700618869-69","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Transit enam jam karena nunggu kereta overall good untuk harganya sangat affordable juga dan spesialnya adaa transit rate jugaa , kamarnya pas untuk backpacker karena tidak terlalu luas jadi nyaman untuk istirahat","positif"
"1700618869-70","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Tempat dan hotel yangg Nyaman dibuat untuk berlibur keluarga,  cuman kolam renang kurang diperhatikan utk luas dan kebersihannya, makanan jg sdh memenui sabagai hotel bintang 3, lift yang membingungkan","positif"
"1700618869-71","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Kesan menginap disini ialah disambut dengan lobby yang begitu megah dan estetik,staff nya yang ramah,makanan nya juga enak dan bervariasi,ada sedikit kendala dikamar yaitu showernya putaranya agak rusak tapi its oke masi bisaa.","positif"
